countyicp,sex,age,marst,race,bpl,hcovany,hcovpriv,educ,incwage,incbus00,work_income
0,male,53,"married, spouse present",white,maine,coverage,private coverage,4 years of college,80900,0,80900
0,male,18,"single, never married",white,maine,coverage,no private coverage,grade 11,1079,0,1079
110,male,44,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,34517,0,34517
0,male,24,"single, never married",white,maine,coverage,private coverage,2 years of college,12944,0,12944
0,female,21,"single, never married",white,maine,coverage,private coverage,1 year of college,10787,0,10787
0,male,52,divorced,white,out of state,no coverage,no private coverage,grade 12,79821,0,79821
0,male,82,"married, spouse present",white,out of state,coverage,no private coverage,5+ years of college,19416,1187,20603
0,female,72,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,4315,0,4315
110,female,28,"single, never married",white,maine,coverage,private coverage,grade 12,44225,0,44225
110,male,31,"single, never married",white,maine,coverage,private coverage,4 years of college,61484,0,61484
0,female,58,"married, spouse present",white,maine,coverage,private coverage,grade 12,8090,0,8090
0,male,63,"married, spouse present",white,maine,coverage,private coverage,grade 12,34517,0,34517
0,male,22,"single, never married",white,out of state,coverage,private coverage,grade 12,25888,0,25888
0,male,53,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,83057,0,83057
0,female,57,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,83057,0,83057
0,male,46,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,102473,0,102473
0,female,60,widowed,white,maine,no coverage,no private coverage,grade 12,13483,0,13483
0,male,34,"single, never married",white,out of state,coverage,private coverage,grade 12,43147,0,43147
0,female,65,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,0,26967,26967
0,male,66,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,0,197396,197396
190,female,31,"married, spouse present",white,maine,coverage,private coverage,1 year of college,40774,0,40774
190,male,33,"married, spouse present",white,maine,no coverage,no private coverage,grade 12,0,32360,32360
0,male,56,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,8953,8953
0,female,56,"married, spouse present",white,out of state,coverage,private coverage,grade 12,43147,0,43147
110,female,58,divorced,white,out of state,coverage,private coverage,grade 12,26967,0,26967
0,female,38,divorced,white,maine,coverage,private coverage,2 years of college,53933,0,53933
0,male,19,"single, never married",white,maine,coverage,private coverage,grade 12,12944,0,12944
0,female,57,divorced,white,out of state,coverage,private coverage,4 years of college,43147,0,43147
0,female,35,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,51776,0,51776
0,male,35,"married, spouse present",white,maine,coverage,private coverage,4 years of college,45304,0,45304
0,female,31,"single, never married",white,out of state,coverage,private coverage,grade 12,16827,0,16827
0,female,52,"married, spouse present",white,maine,coverage,private coverage,2 years of college,16180,16180,32360
0,male,56,"married, spouse present",white,maine,coverage,private coverage,1 year of college,116496,0,116496
110,female,51,divorced,white,maine,coverage,private coverage,4 years of college,30203,0,30203
190,male,35,"married, spouse present",white,maine,coverage,private coverage,4 years of college,81978,-5933,76045
190,female,35,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,19416,0,19416
190,female,37,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,30203,0,30203
190,male,43,"married, spouse present",white,maine,coverage,private coverage,grade 12,43147,0,43147
0,male,41,"married, spouse present",white,maine,coverage,private coverage,2 years of college,53933,0,53933
0,female,35,"married, spouse present",white,maine,coverage,private coverage,4 years of college,59327,0,59327
110,female,42,"single, never married",white,maine,coverage,private coverage,2 years of college,25888,0,25888
0,female,49,"single, never married",white,maine,coverage,private coverage,4 years of college,38832,0,38832
0,female,50,"married, spouse present",white,maine,coverage,private coverage,4 years of college,99237,0,99237
0,male,53,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,7551,7551
0,male,26,"single, never married",white,maine,coverage,private coverage,grade 12,19416,0,19416
0,male,65,"married, spouse present",white,out of state,coverage,no private coverage,4 years of college,0,25349,25349
0,female,65,"married, spouse present",white,out of state,coverage,no private coverage,grade 12,0,24809,24809
0,female,46,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,89529,0,89529
0,male,45,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,86293,0,86293
0,male,39,divorced,white,out of state,coverage,private coverage,grade 12,48540,0,48540
0,female,41,"single, never married",white,out of state,coverage,private coverage,4 years of college,75507,10787,86294
0,female,58,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,67956,0,67956
0,male,59,"married, spouse present",white,maine,coverage,private coverage,grade 12,53933,0,53933
190,female,20,"single, never married",white,maine,coverage,private coverage,grade 12,378,0,378
0,male,89,widowed,white,out of state,coverage,no private coverage,grade 12,26967,0,26967
0,male,66,divorced,white,maine,coverage,no private coverage,grade 12,0,5393,5393
0,male,61,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,146698,0,146698
0,female,59,"married, spouse present",white,maine,coverage,private coverage,4 years of college,53933,0,53933
0,male,59,"married, spouse present",white,maine,coverage,private coverage,4 years of college,52855,1402,54257
0,male,37,"single, never married",white,out of state,coverage,private coverage,grade 9,0,75507,75507
0,male,67,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,129440,0,129440
0,female,66,"married, spouse present",white,maine,coverage,private coverage,1 year of college,30203,0,30203
190,male,51,"married, spouse present",white,maine,coverage,private coverage,4 years of college,0,197396,197396
190,female,53,"married, spouse present",white,maine,coverage,private coverage,4 years of college,11865,0,11865
190,male,23,"single, never married",white,maine,coverage,private coverage,4 years of college,10787,0,10787
0,female,68,"married, spouse present",white,maine,coverage,private coverage,grade 12,863,0,863
0,male,68,"married, spouse present",white,maine,coverage,private coverage,1 year of college,34517,0,34517
0,male,31,"single, never married",white,maine,coverage,private coverage,4 years of college,70113,0,70113
0,male,40,"married, spouse present",white,maine,coverage,private coverage,4 years of college,61484,0,61484
0,female,45,"married, spouse present",white,maine,coverage,private coverage,4 years of college,51776,0,51776
0,female,29,"married, spouse present",white,maine,coverage,private coverage,4 years of college,70113,0,70113
0,male,30,"married, spouse present",white,maine,coverage,private coverage,1 year of college,43147,0,43147
0,female,46,"married, spouse present",white,maine,coverage,no private coverage,4 years of college,11218,0,11218
0,male,41,"married, spouse present",white,maine,coverage,no private coverage,grade 12,0,16180,16180
0,female,23,"single, never married",white,out of state,coverage,no private coverage,grade 12,8629,0,8629
0,male,18,"single, never married",white,maine,coverage,no private coverage,grade 12,0,8414,8414
10,male,52,divorced,white,out of state,coverage,private coverage,grade 12,64720,0,64720
10,female,49,separated,white,out of state,coverage,private coverage,grade 12,37753,0,37753
0,male,42,divorced,white,out of state,coverage,private coverage,grade 12,32360,0,32360
190,male,20,"single, never married",white,out of state,coverage,private coverage,grade 12,4854,0,4854
0,male,45,divorced,white,maine,no coverage,no private coverage,grade 12,53933,0,53933
0,female,43,divorced,white,maine,no coverage,no private coverage,grade 12,21573,0,21573
0,male,34,"married, spouse present",white,maine,coverage,private coverage,grade 12,24809,0,24809
0,female,18,"single, never married",white,out of state,coverage,no private coverage,grade 11,539,0,539
0,female,32,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,25349,0,25349
0,male,33,"married, spouse present",white,maine,coverage,private coverage,1 year of college,61484,0,61484
0,female,24,"single, never married",white,maine,coverage,private coverage,4 years of college,10787,0,10787
190,male,50,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,31281,0,31281
0,female,24,"single, never married",white,maine,coverage,no private coverage,grade 12,10247,0,10247
190,male,59,"married, spouse present",white,maine,coverage,private coverage,1 year of college,39911,0,39911
110,female,66,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,66877,0,66877
110,male,44,"single, never married",white,maine,coverage,private coverage,4 years of college,43147,0,43147
0,male,45,"married, spouse present",white,maine,coverage,private coverage,2 years of college,37538,0,37538
0,female,35,"married, spouse absent",white,maine,coverage,private coverage,grade 12,10787,0,10787
0,male,68,"married, spouse present",white,maine,coverage,no private coverage,1 year of college,161800,0,161800
0,male,46,"married, spouse present",white,out of state,coverage,private coverage,grade 12,48540,45304,93844
0,female,46,"married, spouse present",white,out of state,coverage,private coverage,grade 12,15641,0,15641
0,female,58,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,1726,0,1726
0,male,60,"married, spouse present",white,out of state,coverage,private coverage,grade 12,45304,0,45304
0,male,45,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,87372,0,87372
0,female,74,"single, never married",white,out of state,coverage,private coverage,5+ years of college,140,0,140
110,male,35,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,86293,0,86293
0,male,33,"married, spouse present",white,maine,coverage,private coverage,4 years of college,55012,0,55012
0,female,33,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,50697,0,50697
0,female,27,divorced,white,maine,coverage,no private coverage,grade 12,12405,0,12405
0,male,43,divorced,white,out of state,coverage,no private coverage,grade 12,16180,0,16180
0,male,37,separated,white,maine,coverage,private coverage,grade 12,74428,0,74428
10,female,51,divorced,white,maine,coverage,private coverage,2 years of college,43147,0,43147
10,male,22,"single, never married",white,maine,coverage,private coverage,1 year of college,14023,0,14023
0,male,23,"single, never married",white,out of state,coverage,private coverage,1 year of college,2697,0,2697
0,female,30,"married, spouse present",white,maine,coverage,private coverage,4 years of college,36675,0,36675
0,male,33,"married, spouse present",native american,maine,coverage,no private coverage,2 years of college,28153,0,28153
0,male,66,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,58248,0,58248
0,female,53,"married, spouse present",white,maine,coverage,private coverage,1 year of college,33439,0,33439
0,male,53,"married, spouse present",white,maine,coverage,private coverage,grade 10,39911,0,39911
0,female,26,"single, never married",white,maine,no coverage,no private coverage,grade 12,3236,0,3236
190,male,63,"single, never married",white,out of state,coverage,private coverage,2 years of college,4207,0,4207
0,male,71,divorced,native american,maine,coverage,private coverage,grade 12,35596,0,35596
0,male,57,divorced,white,out of state,no coverage,no private coverage,4 years of college,10787,0,10787
190,male,44,"married, spouse present",white,maine,coverage,private coverage,grade 12,50697,0,50697
0,male,72,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,0,54,54
0,male,59,"married, spouse present",white,maine,coverage,private coverage,1 year of college,198474,0,198474
0,female,57,"married, spouse present",white,maine,coverage,private coverage,4 years of college,66877,0,66877
0,male,31,"single, never married",white,maine,coverage,no private coverage,grade 12,2157,0,2157
0,male,41,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,111102,0,111102
0,female,34,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,48324,0,48324
0,female,67,"married, spouse present",native american,maine,coverage,no private coverage,grade 12,14023,0,14023
0,male,63,"married, spouse present",white,out of state,coverage,private coverage,grade 12,55012,0,55012
110,male,42,"married, spouse present",Other Asian,out of state,coverage,private coverage,4 years of college,129440,0,129440
110,female,34,"married, spouse present",Other Asian,out of state,coverage,private coverage,4 years of college,75507,0,75507
0,male,55,widowed,white,out of state,no coverage,no private coverage,grade 12,33439,0,33439
0,female,66,divorced,white,out of state,coverage,no private coverage,4 years of college,0,24809,24809
0,male,61,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,100316,0,100316
0,female,47,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,50805,0,50805
0,male,53,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,97080,0,97080
0,male,77,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,0,108,108
0,female,68,widowed,white,maine,coverage,private coverage,grade 12,14023,0,14023
0,male,35,"married, spouse present",white,maine,coverage,private coverage,grade 12,16180,0,16180
0,female,28,"married, spouse present",white,maine,coverage,private coverage,1 year of college,1942,0,1942
0,female,43,"single, never married",white,out of state,coverage,private coverage,4 years of college,30203,0,30203
0,female,32,"single, never married",white,maine,no coverage,no private coverage,grade 12,30203,0,30203
0,female,19,"single, never married",white,out of state,coverage,private coverage,grade 10,6796,0,6796
0,male,19,"single, never married",white,maine,coverage,private coverage,2 years of college,1294,0,1294
0,female,64,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,75507,0,75507
0,male,31,"single, never married",white,maine,coverage,private coverage,2 years of college,43147,0,43147
0,female,31,"single, never married",white,maine,coverage,private coverage,4 years of college,32360,0,32360
190,male,68,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,26967,0,26967
0,male,21,"single, never married",white,out of state,coverage,private coverage,1 year of college,5393,0,5393
190,male,28,"single, never married",white,out of state,coverage,private coverage,grade 12,34517,0,34517
0,female,70,"married, spouse present",white,maine,coverage,private coverage,1 year of college,140,0,140
0,male,32,divorced,white,maine,coverage,private coverage,5+ years of college,107866,0,107866
190,female,18,"single, never married",white,out of state,coverage,private coverage,grade 12,2157,0,2157
110,male,62,"married, spouse present",white,out of state,coverage,private coverage,grade 12,28045,0,28045
110,female,60,"married, spouse present",white,maine,coverage,private coverage,1 year of college,53933,0,53933
0,female,30,"single, never married",white,out of state,coverage,private coverage,1 year of college,40989,0,40989
0,male,74,"married, spouse present",white,maine,coverage,private coverage,grade 12,8090,0,8090
0,female,57,"married, spouse present",white,maine,coverage,private coverage,grade 12,30203,0,30203
0,male,50,"married, spouse present",white,out of state,coverage,private coverage,grade 12,64720,0,64720
